instant_hour,dteday,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,duration_days,instant_day,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,status,temp_group
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Cold
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Cold
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Cold
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Cold
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,2.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,Cold
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,3.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,Cold
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,4.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,Cold
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,5.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,Cold
